what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1436670412598
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1436670412599
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1436670412599
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1436670412600
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1436670412605
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1436670412605
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1436670412606
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1436670412606
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1436670412608
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1436670412609
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1436670412610
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1436670412610
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1436670412611
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1436670412612
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1436670412612
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1436670412615
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1436670412616
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1436670412616
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1436670412616
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1436670412617
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1436670412617
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1436670412617
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1436670412617
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1436670412618
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1436670412618
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1436670412619
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1436670412620
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1436670412620
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1436670412622
started,bundle,org.eclipse.swtbot.eclipse.ui,2.0.4.20110304_0338-e5aff47-dev-e36,"org.eclipse.swtbot.eclipse.ui",1436670412622
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1436670412622
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1436670412623
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1436670412623
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1436670412624
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1436670412625
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1436670412625
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1436670412626
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1436670412626
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1436670412628
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1436670412628
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1436670412628
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1436670412628
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1436670412629
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1436670412629
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1436670412630
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1436670412630
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1436670412631
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1436670412632
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1436670412632
started,bundle,org.eclipse.wb.core,0.9.0.r36x201105011657,"org.eclipse.wb.core",1436670412633
started,bundle,org.eclipse.wb.core.lib,0.9.0.r36x201105011657,"org.eclipse.wb.core.lib",1436670412633
started,bundle,org.eclipse.wb.core.xml,0.9.0.r36x201105011704,"org.eclipse.wb.core.xml",1436670412634
started,bundle,org.eclipse.wb.discovery.core,0.9.0.r36x201105011703,"org.eclipse.wb.discovery.core",1436670412634
started,bundle,org.eclipse.wb.discovery.ui,0.9.0.r36x201105011703,"org.eclipse.wb.discovery.ui",1436670412634
started,bundle,org.eclipse.wb.rcp,0.9.0.r36x201105011732,"org.eclipse.wb.rcp",1436670412634
started,bundle,org.eclipse.wb.swing,0.9.0.r36x201105011728,"org.eclipse.wb.swing",1436670412634
started,bundle,org.eclipse.wb.swt,0.9.0.r36x201105011730,"org.eclipse.wb.swt",1436670412634
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1436670412634
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1436670412634
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1436670412634
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1436670412635
os,sysinfo,,,"win32",1436670412637
arch,sysinfo,,,"x86",1436670412637
ws,sysinfo,,,"win32",1436670412637
locale,sysinfo,,,"zh_CN",1436670412637
processors,sysinfo,,,"2",1436670412637
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1436670412637
java.runtime.version,sysinfo,,,"1.7.0_75-b13",1436670412637
java.specification.name,sysinfo,,,"Java Platform API Specification",1436670412637
java.specification.vendor,sysinfo,,,"Oracle Corporation",1436670412637
java.specification.version,sysinfo,,,"1.7",1436670412637
java.vendor,sysinfo,,,"Oracle Corporation",1436670412637
java.version,sysinfo,,,"1.7.0_75",1436670412637
java.vm.info,sysinfo,,,"mixed mode, sharing",1436670412637
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1436670412637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1436670412637
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1436670412637
java.vm.specification.version,sysinfo,,,"1.7",1436670412637
java.vm.vendor,sysinfo,,,"Oracle Corporation",1436670412637
java.vm.version,sysinfo,,,"24.75-b04",1436670412637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1436670412700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1436670413720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1436670415194
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1436670422638
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1436670422670
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1436670422728
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1436670422735
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1436670422736
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1436670423793
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1436670423804
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1436670424681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1436670424714
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1436670424730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1436670424731
